lga_code,house_2b,house_3b,flat_1b,flat_2b,avg_all,rank
11720,280,320,190,280,268,1
16400,280,350,185,280,274,2
18550,280,350,195,280,276,3
15050,300,350,185,280,279,4
10900,300,360,225,280,291,5
16350,310,380,210,280,295,6
14650,320,370,205,295,298,7
13100,320,390,220,310,310,8
11500,320,370,275,280,311,9
16900,300,385,,255,313,10
18450,340,400,220,310,318,11
12850,340,400,240,300,320,12
14900,320,430,235,318,326,13
10750,343,380,245,350,329,14
18400,,380,,300,340,15
13800,363,380,,295,346,16
15900,360,400,255,370,346,17
14400,,430,,290,360,18
13950,380,430,270,370,363,19
10350,383,460,255,375,368,20
16250,400,450,360,400,403,21
11550,460,545,280,350,409,22
11450,,413,,,413,23
14150,415,520,320,400,414,24
10200,385,470,413,430,424,25
14450,410,540,330,420,425,26
17150,460,580,320,420,445,27
16650,388,555,420,430,448,28
10500,450,500,360,485,449,29
16700,493,560,350,420,456,30
14000,470,550,360,450,458,31
17100,,550,380,450,460,32
10150,,650,350,425,475,33
11300,,600,375,465,480,34
14100,,,,505,505,35
15200,600,683,385,460,532,36
16370,535,770,365,490,540,37
14700,,805,385,460,550,38
18500,,,470,645,558,39
11520,580,680,470,550,570,40
11100,,700,480,550,577,41
14500,,710,465,565,580,42
18000,645,760,400,515,580,43
14800,623,758,400,545,581,44
16550,,825,450,550,608,45
18250,,795,490,580,622,46
17200,620,800,510,685,654,47
15950,,995,450,600,682,48
15150,,940,500,650,697,49
15350,,1200,428,560,729,50
18050,,1080,500,650,743,51
