lga_code,lga name,house_2b,house_3b,flat_1b,flat_2b,avg_all,rank
11720,Cessnock,280,320,190,280,268,1
16400,Port Stephens,280,350,185,280,274,2
18550,Wyong,280,350,195,280,276,3
15050,Maitland,300,350,185,280,279,4
10900,Blue Mountains,300,360,225,280,291,5
16350,Penrith,310,380,210,280,295,6
14650,Lake Macquarie,320,370,205,295,298,7
13100,Gosford,320,390,220,310,310,8
11500,Campbelltown,320,370,275,280,311,9
16900,Shellharbour,300,385,,255,313,10
18450,Wollongong,340,400,220,310,318,11
12850,Fairfield,340,400,240,300,320,12
14900,Liverpool,320,430,235,318,326,13
10750,Blacktown,343,380,245,350,329,14
18400,Wollondilly,,380,,300,340,15
13800,Hawkesbury,363,380,,295,346,16
15900,Newcastle,360,400,255,370,346,17
14400,Kiama,,430,,290,360,18
13950,Holroyd,380,430,270,370,363,19
10350,Bankstown,383,460,255,375,368,20
16250,Parramatta,400,450,360,400,403,21
11550,Canterbury,460,545,280,350,409,22
11450,Camden,,413,,,413,23
14150,Hurstville,415,520,320,400,414,24
10200,Auburn,385,470,413,430,424,25
14450,Kogarah,410,540,330,420,425,26
17150,Sutherland,460,580,320,420,445,27
16650,Rockdale,388,555,420,430,448,28
10500,Baulkham Hills,450,500,360,485,449,29
16700,Ryde,493,560,350,420,456,30
14000,Hornsby,470,550,360,450,458,31
17100,Strathfield,,550,380,450,460,32
10150,Ashfield,,650,350,425,475,33
11300,Burwood,,600,375,465,480,34
14100,Hunters Hill,,,,505,505,35
15200,Marrickville,600,683,385,460,532,36
16370,Pittwater,535,770,365,490,540,37
14700,Lane Cove,,805,385,460,550,38
18500,Woollahra,,,470,645,558,39
11520,Canada Bay,580,680,470,550,570,40
11100,Botany Bay,,700,480,550,577,41
14500,Ku-Ring-Gai,,710,465,565,580,42
18000,Warringah,645,760,400,515,580,43
14800,Leichhardt,623,758,400,545,581,44
16550,Randwick,,825,450,550,608,45
18250,Willoughby,,795,490,580,622,46
17200,Sydney,620,800,510,685,654,47
15950,North Sydney,,995,450,600,682,48
15150,Manly,,940,500,650,697,49
15350,Mosman,,"1,200",428,560,729,50
18050,Waverley,,"1,080",500,650,743,51
